State,Value
8807,-10
2246,10
9401,10
10373,-10
8915,-10
2354,-10
10697,10
9239,10
2678,10
10211,-10
3650,10
15314,10
2192,-10
6584,10
6620,10
6728,0
7052,10
8024,0
10940,0
6566,0
5,0
1911,-10
18678,10
5556,0
12846,-10
11388,-10
4827,0
14304,-10
17220,-10
15762,-10
13575,-10
453,-10
16734,-10
3612,-10
12360,10
7986,10
1425,10
11874,0
5313,10
16248,-10
14061,10
939,0
10902,-10
9444,-10
2883,-10
3855,-10
15519,-10
2397,-10
7257,10
8229,-10
11145,0
6771,-10
210,0
4260,10
13008,10
8634,10
2073,10
18840,-10
5718,-10
11550,0
4989,0
13737,-10
615,-10
12198,0
5637,10
14385,-10
1263,-10
10740,-10
4179,10
15843,-10
2721,-10
8553,10
11469,10
7095,10
534,10
6204,10
12522,10
5961,10
14952,10
16896,10
14709,10
1587,10
12684,-10
6123,10
17058,-10
14871,10
1749,-10
16815,10
3693,-10
12441,10
8067,-10
1506,10
17868,10
18354,-10
17625,10
4503,0
18516,10
17787,10
4665,0
18273,10
5151,0
10983,0
4422,0
13251,-10
13413,-10
13899,-10
15357,-10
13170,-10
48,-10
4044,10
12792,10
8418,-10
1857,10
18624,0
5502,0
11334,0
4773,0
14250,0
15708,10
13521,10
399,0
3558,10
12306,10
7932,10
1371,10
11820,0
5259,0
16194,10
14007,10
885,0
2343,10
9390,10
7203,10
10362,10
8175,10
11091,10
6717,10
156,10
12252,0
5691,0
14439,-10
1317,-10
2775,10
10794,10
8607,10
11523,10
7149,10
588,10
12738,10
6177,10
17112,10
14925,10
1803,10
3747,10
12495,10
8121,10
1560,10
18570,0
